Namen,Fahrten,Anteil (%)
Spreitenbach - Zürich,3767,9.4
Dietikon - Spreitenbach,1801,4.5
Dietikon - Zürich,1167,2.9
Schlieren - Spreitenbach,964,2.4
Geroldswil - Spreitenbach,828,2.1
Dietikon - Wettingen,692,1.7
Spreitenbach - Wettingen,669,1.7
Dietikon - Würenlos,667,1.7
Baden - Dietikon,643,1.6
Spreitenbach - Urdorf,638,1.6
Regensdorf - Spreitenbach,423,1.1
Dietikon - Urdorf,365,0.9
Baden - Spreitenbach,352,0.9
Spreitenbach - Würenlos,339,0.8
Oetwil an der Limmat - Spreitenbach,324,0.8
Dietikon - Oetwil an der Limmat,291,0.7
Dietikon - Regensdorf,257,0.6
Spreitenbach - Unterengstringen,254,0.6
Dietikon - Geroldswil,246,0.6
Killwangen - Zürich,244,0.6
