Fahrten,Namen
8322,S11 (Schweizerische Bundesbahnen SBB)
4463,309 (Verkehrsbetriebe Zürich)
3681,S12 (Schweizerische Bundesbahnen SBB)
2100,IR36 (Schweizerische Bundesbahnen SBB)
1981,4 (Regionale Verkehrsbetriebe Baden-Wettingen)
1808,S19 (Schweizerische Bundesbahnen SBB)
1201,20 (Aargau Verkehr AG)
913,2 (Regionale Verkehrsbetriebe Baden-Wettingen)
822,S17 (Aargau Verkehr AG)
817,S6 (Schweizerische Bundesbahnen SBB)
472,S42 (Schweizerische Bundesbahnen SBB)
341,302 (Verkehrsbetriebe Zürich)
335,IR16 (Schweizerische Bundesbahnen SBB)
330,S9 (Schweizerische Bundesbahnen SBB)
300,IC5 (Schweizerische Bundesbahnen SBB)
280,10 (Regionale Verkehrsbetriebe Baden-Wettingen)
280,314 (Verkehrsbetriebe Zürich)
260,S28 (Schweizerische Bundesbahnen SBB)
255,301 (Verkehrsbetriebe Zürich)
253,S15 (Schweizerische Bundesbahnen SBB)
