Fahrten,Namen
1933,91-11-A-j23-1 (Unknown agency)
972,91-12-j23-1 (Unknown agency)
590,91-36-A-j23-1 (Unknown agency)
500,91-19-A-j23-1 (Unknown agency)
414,92-309-j23-1 (Unknown agency)
218,92-2-j23-1 (Unknown agency)
199,91-17-A-j23-1 (Unknown agency)
103,92-10-A-j23-1 (Unknown agency)
96,91-5-A-j23-1 (Unknown agency)
79,92-317-j23-1 (Unknown agency)
79,96-170-0-j23-1 (Unknown agency)
73,91-16-B-j23-1 (Unknown agency)
72,96-170-1-j23-1 (Unknown agency)
66,91-42-j23-1 (Unknown agency)
66,91-4-F-j23-1 (Unknown agency)
66,92-4-j23-1 (Unknown agency)
62,91-3-D-j23-1 (Unknown agency)
59,91-5-C-j23-1 (Unknown agency)
59,91-26-j23-1 (Unknown agency)
56,91-20-F-j23-1 (Unknown agency)
