Namen,Fahrten,Anteil (%)
Spreitenbach - Zürich,1189,11.4
Dietikon - Zürich,793,7.6
Neuenhof - Zürich,379,3.6
Killwangen - Zürich,350,3.3
Baden - Dietikon,204,2.0
Basel - Dietikon,181,1.7
Dietikon - Winterthur,161,1.5
Schlieren - Spreitenbach,146,1.4
Stetten (AG) - Zürich,138,1.3
Aarau - Dietikon,107,1.0
Remetschwil - Zürich,89,0.9
Spreitenbach - Winterthur,88,0.8
Niederrohrdorf - Zürich,87,0.8
Bern - Dietikon,87,0.8
Dietikon - Dübendorf,84,0.8
Dietikon - Olten,72,0.7
Dietikon - Lenzburg,72,0.7
Aarau - Spreitenbach,68,0.6
Brugg - Dietikon,64,0.6
Dietikon - Urdorf,63,0.6
