Namen,Fahrten,Anteil (%)
Fällanden - Zürich,2232,9.7
Volketswil - Zürich,1300,5.7
Dübendorf - Fällanden,1132,4.9
Greifensee - Zürich,916,4.0
Schwerzenbach - Zürich,518,2.3
Maur - Zürich,504,2.2
Uster - Zürich,452,2.0
Dübendorf - Maur,438,1.9
Dübendorf - Küsnacht (ZH),307,1.3
Fällanden - Wallisellen,303,1.3
Dübendorf - Zollikon,263,1.1
Dübendorf - Meilen,256,1.1
Maur - Volketswil,245,1.1
Volketswil - Zollikon,236,1.0
Dübendorf - Egg,222,1.0
Fällanden - Kloten,219,1.0
Dübendorf - Rapperswil-Jona,202,0.9
Dietlikon - Fällanden,190,0.8
Fällanden - Volketswil,188,0.8
Kloten - Maur,185,0.8
