Fahrten,Namen
3948,91-9-D-j23-1 (Unknown agency)
2690,92-704-B-j23-1 (Unknown agency)
2312,92-705-B-j23-1 (Unknown agency)
2308,92-744-j23-1 (Unknown agency)
2017,91-14-C-j23-1 (Unknown agency)
1846,91-18-A-j23-1 (Unknown agency)
1296,92-745-j23-1 (Unknown agency)
873,91-3-D-j23-1 (Unknown agency)
783,92-743-j23-1 (Unknown agency)
694,91-6-D-j23-1 (Unknown agency)
611,91-12-C-j23-1 (Unknown agency)
463,91-11-A-j23-1 (Unknown agency)
414,91-7-C-j23-1 (Unknown agency)
412,91-15-C-j23-1 (Unknown agency)
404,91-12-j23-1 (Unknown agency)
369,92-910-j23-1 (Unknown agency)
335,92-31-G-j23-1 (Unknown agency)
297,92-701-B-j23-1 (Unknown agency)
285,91-5-C-j23-1 (Unknown agency)
250,91-3-J-j23-1 (Unknown agency)
