Fahrten,Namen
2360,S9 (Schweizerische Bundesbahnen SBB)
488,18 (Forchbahn)
464,S14 (Schweizerische Bundesbahnen SBB)
429,S15 (Schweizerische Bundesbahnen SBB)
404,S3 (Schweizerische Bundesbahnen SBB)
403,744 (Verkehrsbetriebe Zürich)
363,S11 (Schweizerische Bundesbahnen SBB)
360,S7 (Schweizerische Bundesbahnen SBB)
327,S6 (Schweizerische Bundesbahnen SBB)
326,S12 (Schweizerische Bundesbahnen SBB)
280,743 (Verkehrsbetriebe Zürich)
259,704 (Verkehrsbetriebe Zürich)
229,705 (Verkehrsbetriebe Zürich)
223,S5 (Schweizerische Bundesbahnen SBB)
163,3 (Verkehrsbetriebe Zürich INFO+)
150,745 (Verkehrsbetriebe Zürich)
106,S16 (Schweizerische Bundesbahnen SBB)
95,7 (Verkehrsbetriebe Zürich INFO+)
88,S20 (Schweizerische Bundesbahnen SBB)
75,912 (Verkehrsbetriebe Zürich)
