Namen,Fahrten,Anteil (%)
Fällanden - Zürich,1320,14.2
Volketswil - Zürich,1005,10.8
Greifensee - Zürich,821,8.8
Schwerzenbach - Zürich,422,4.5
Uster - Zürich,311,3.3
Maur - Zürich,211,2.3
Dübendorf - Fällanden,190,2.0
Dübendorf - Rapperswil-Jona,168,1.8
Dübendorf - Meilen,138,1.5
Küsnacht (ZH) - Winterthur,130,1.4
Winterthur - Zollikon,119,1.3
Dübendorf - Rüti (ZH),114,1.2
Dübendorf - Stäfa,111,1.2
Dübendorf - Küsnacht (ZH),83,0.9
Dübendorf - Männedorf,81,0.9
Dübendorf - Zollikon,69,0.7
Fällanden - Winterthur,68,0.7
Dietlikon - Küsnacht (ZH),67,0.7
Kloten - Zumikon,60,0.6
Volketswil - Zollikon,56,0.6
