Fahrten,Namen
1023,91-14-C-j23-1 (Unknown agency)
832,91-5-C-j23-1 (Unknown agency)
567,91-3-D-j23-1 (Unknown agency)
379,92-869-j23-1 (Unknown agency)
264,91-26-A-j23-1 (Unknown agency)
264,91-15-C-j23-1 (Unknown agency)
140,91-12-j23-1 (Unknown agency)
100,91-11-A-j23-1 (Unknown agency)
75,91-8-C-j23-1 (Unknown agency)
74,91-9-D-j23-1 (Unknown agency)
74,92-885-j23-1 (Unknown agency)
58,91-7-C-j23-1 (Unknown agency)
58,91-24-j23-1 (Unknown agency)
53,91-25-j23-1 (Unknown agency)
51,92-857-j23-1 (Unknown agency)
50,91-2-B-j23-1 (Unknown agency)
48,91-35-A-j23-1 (Unknown agency)
46,92-725-j23-1 (Unknown agency)
46,92-850-j23-1 (Unknown agency)
45,91-75-j23-1 (Unknown agency)
