Namen,Fahrten,Anteil (%)
Hinwil - Zürich,472,7.5
Rapperswil-Jona - Winterthur,281,4.4
Hinwil - Wetzikon (ZH),199,3.1
Hinwil - Winterthur,188,3.0
Rüti (ZH) - Winterthur,178,2.8
Wald (ZH) - Winterthur,168,2.7
Rüti (ZH) - Wetzikon (ZH),166,2.6
Hinwil - Uster,146,2.3
Dübendorf - Hinwil,134,2.1
Pfäffikon - Rüti (ZH),114,1.8
Hinwil - Kloten,105,1.7
Hinwil - Wallisellen,98,1.5
Greifensee - Hinwil,95,1.5
Freienbach - Winterthur,78,1.2
Freienbach - Wetzikon (ZH),75,1.2
Pfäffikon - Rapperswil-Jona,73,1.2
Fehraltorf - Rüti (ZH),63,1.0
Rapperswil-Jona - Wetzikon (ZH),57,0.9
Hinwil - Volketswil,53,0.8
Hinwil - Opfikon,52,0.8
