Namen,Fahrten,Anteil (%)
Kloten - Zürich,2092,10.0
Embrach - Kloten,1100,5.3
Bülach - Kloten,720,3.4
Kloten - Opfikon,652,3.1
Bassersdorf - Zürich,595,2.8
Bassersdorf - Kloten,589,2.8
Dübendorf - Kloten,521,2.5
Kloten - Wallisellen,487,2.3
Kloten - Lufingen,333,1.6
Kloten - Regensdorf,311,1.5
Bassersdorf - Bülach,298,1.4
Bachenbülach - Kloten,296,1.4
Kloten - Rümlang,291,1.4
Kloten - Volketswil,268,1.3
Kloten - Winkel,254,1.2
Freienstein-Teufen - Kloten,196,0.9
Bassersdorf - Dübendorf,184,0.9
Nürensdorf - Zürich,152,0.7
Kloten - Wangen-Brüttisellen,136,0.7
Kloten - Uster,135,0.6
