Fahrten,Namen
2827,91-7-C-j23-1 (Unknown agency)
2407,92-765-j23-1 (Unknown agency)
2097,91-24-j23-1 (Unknown agency)
1821,96-188-5-j23-1 (Unknown agency)
1179,91-9-D-j23-1 (Unknown agency)
1166,91-12-C-j23-1 (Unknown agency)
937,91-10-E-j23-1 (Unknown agency)
637,91-3-D-j23-1 (Unknown agency)
516,91-5-A-j23-1 (Unknown agency)
420,92-734-A-j23-1 (Unknown agency)
373,91-6-D-j23-1 (Unknown agency)
310,91-36-A-j23-1 (Unknown agency)
299,91-15-C-j23-1 (Unknown agency)
264,92-733-A-j23-1 (Unknown agency)
231,91-8-C-j23-1 (Unknown agency)
224,91-2-B-j23-1 (Unknown agency)
224,92-732-A-j23-1 (Unknown agency)
209,91-12-j23-1 (Unknown agency)
201,91-19-A-j23-1 (Unknown agency)
200,92-768-j23-1 (Unknown agency)
