Fahrten,Namen
852,96-188-5-j23-1 (Unknown agency)
715,91-7-C-j23-1 (Unknown agency)
582,91-24-j23-1 (Unknown agency)
562,92-765-j23-1 (Unknown agency)
203,92-734-A-j23-1 (Unknown agency)
168,91-10-E-j23-1 (Unknown agency)
131,92-732-A-j23-1 (Unknown agency)
116,91-5-A-j23-1 (Unknown agency)
93,91-2-B-j23-1 (Unknown agency)
86,91-6-D-j23-1 (Unknown agency)
73,91-19-A-j23-1 (Unknown agency)
69,91-3-D-j23-1 (Unknown agency)
66,91-8-E-j23-1 (Unknown agency)
63,91-15-C-j23-1 (Unknown agency)
52,91-5-C-j23-1 (Unknown agency)
48,91-8-C-j23-1 (Unknown agency)
45,91-36-A-j23-1 (Unknown agency)
40,91-12-j23-1 (Unknown agency)
39,92-735-B-j23-1 (Unknown agency)
39,91-3-C-j23-1 (Unknown agency)
