Namen,Fahrten,Anteil (%)
Kloten - Zürich,697,16.4
Embrach - Kloten,651,15.3
Bassersdorf - Zürich,243,5.7
Kloten - Opfikon,181,4.3
Kloten - Lufingen,107,2.5
Kloten - Winkel,105,2.5
Basel - Kloten,79,1.9
Nürensdorf - Zürich,77,1.8
Bassersdorf - Kloten,57,1.3
Kloten - Winterthur,47,1.1
Basel - Bassersdorf,47,1.1
Bern - Kloten,41,1.0
Bassersdorf - Schlieren,31,0.7
Illnau-Effretikon - Kloten,31,0.7
Kloten - Regensdorf,30,0.7
Kloten - Le Grand-Saconnex,30,0.7
Dielsdorf - Kloten,28,0.7
Baden - Kloten,25,0.6
Kloten - Schlieren,23,0.5
Dietlikon - Regensdorf,22,0.5
