Namen,Fahrten,Anteil (%)
Schlieren - Zürich,4438,32.3
Dietikon - Zürich,1076,7.8
Urdorf - Zürich,870,6.3
Dietikon - Schlieren,648,4.7
Schlieren - Urdorf,439,3.2
Schlieren - Unterengstringen,232,1.7
Schlieren - Spreitenbach,231,1.7
Geroldswil - Schlieren,201,1.5
Dübendorf - Schlieren,182,1.3
Regensdorf - Schlieren,172,1.2
Schlieren - Winterthur,163,1.2
Kloten - Schlieren,141,1.0
Schlieren - Weiningen (ZH),111,0.8
Schlieren - Uitikon,110,0.8
Birmensdorf (ZH) - Schlieren,92,0.7
Opfikon - Schlieren,89,0.6
Schlieren - Wallisellen,88,0.6
Affoltern am Albis - Schlieren,84,0.6
Schlieren - Wettingen,84,0.6
Baden - Schlieren,80,0.6
