Fahrten,Namen
4819,91-12-j23-1 (Unknown agency)
2447,91-11-A-j23-1 (Unknown agency)
2324,91-5-C-j23-1 (Unknown agency)
1774,91-2-H-j23-1 (Unknown agency)
1394,91-20-F-j23-1 (Unknown agency)
910,92-302-C-j23-1 (Unknown agency)
814,91-14-C-j23-1 (Unknown agency)
624,91-36-A-j23-1 (Unknown agency)
271,91-17-A-j23-1 (Unknown agency)
202,92-80-A-j23-1 (Unknown agency)
195,92-485-j23-1 (Unknown agency)
154,92-33-E-j23-1 (Unknown agency)
150,91-4-F-j23-1 (Unknown agency)
138,91-10-A-j23-1 (Unknown agency)
109,91-2-B-j23-1 (Unknown agency)
109,91-4-A-j23-1 (Unknown agency)
102,91-15-C-j23-1 (Unknown agency)
99,92-309-j23-1 (Unknown agency)
99,91-16-A-j23-1 (Unknown agency)
95,92-304-E-j23-1 (Unknown agency)
