Fahrten,Namen
2485,S12 (Schweizerische Bundesbahnen SBB)
926,S11 (Schweizerische Bundesbahnen SBB)
584,S5 (Schweizerische Bundesbahnen SBB)
473,2 (Verkehrsbetriebe Zürich INFO+)
202,302 (Verkehrsbetriebe Zürich)
184,S14 (Schweizerische Bundesbahnen SBB)
121,S19 (Schweizerische Bundesbahnen SBB)
94,4 (Verkehrsbetriebe Zürich INFO+)
84,S4 (Sihltal-Zürich-Uetliberg-Bahn)
81,S16 (Schweizerische Bundesbahnen SBB)
80,S2 (Schweizerische Bundesbahnen SBB)
75,201 (PostAuto AG)
69,S7 (Schweizerische Bundesbahnen SBB)
67,80 (Verkehrsbetriebe Zürich)
58,3 (Verkehrsbetriebe Zürich INFO+)
56,33 (Verkehrsbetriebe Zürich)
54,S10 (Sihltal-Zürich-Uetliberg-Bahn)
50,18 (Forchbahn)
45,304 (Verkehrsbetriebe Zürich)
45,7 (Verkehrsbetriebe Zürich INFO+)
