Namen,Fahrten,Anteil (%)
Schlieren - Zürich,3899,49.6
Dietikon - Zürich,826,10.5
Urdorf - Zürich,518,6.6
Schlieren - Unterengstringen,155,2.0
Schlieren - Uitikon,128,1.6
Dübendorf - Schlieren,112,1.4
Schlieren - Winterthur,82,1.0
Schlieren - Weiningen (ZH),67,0.8
Neuenhof - Schlieren,61,0.8
Schlieren - Wallisellen,54,0.7
Geroldswil - Schlieren,51,0.6
Opfikon - Schlieren,50,0.6
Kloten - Schlieren,49,0.6
Küsnacht (ZH) - Schlieren,48,0.6
Baden - Schlieren,46,0.6
Schlieren - Zollikon,45,0.6
Dietlikon - Schlieren,45,0.6
Uitikon - Unterengstringen,43,0.6
Schlieren - Wettingen,43,0.5
Dietikon - Schlieren,43,0.5
