Namen,Fahrten,Anteil (%)
Urdorf - Zürich,724,16.0
Birmensdorf (ZH) - Urdorf,470,10.4
Schlieren - Urdorf,300,6.6
Dietikon - Urdorf,215,4.7
Uitikon - Urdorf,136,3.0
Stallikon - Urdorf,134,2.9
Affoltern am Albis - Urdorf,122,2.7
Bonstetten - Urdorf,116,2.6
Urdorf - Wettswil am Albis,95,2.1
Rudolfstetten-Friedlisberg - Urdorf,85,1.9
Spreitenbach - Urdorf,71,1.6
Adliswil - Urdorf,57,1.3
Thalwil - Urdorf,56,1.2
Hedingen - Urdorf,53,1.2
Aesch (ZH) - Urdorf,50,1.1
Baar - Urdorf,44,1.0
Bergdietikon - Urdorf,41,0.9
Birmensdorf (ZH) - Schlieren,41,0.9
Freienbach - Urdorf,41,0.9
Urdorf - Wädenswil,40,0.9
