Fahrten,Namen
1670,91-5-C-j23-1 (Unknown agency)
818,92-314-A-j23-1 (Unknown agency)
605,91-14-C-j23-1 (Unknown agency)
145,92-302-C-j23-1 (Unknown agency)
135,91-11-A-j23-1 (Unknown agency)
111,96-165-4-j23-1 (Unknown agency)
79,91-12-j23-1 (Unknown agency)
72,91-17-A-j23-1 (Unknown agency)
70,91-4-A-j23-1 (Unknown agency)
68,91-20-F-j23-1 (Unknown agency)
55,91-24-j23-1 (Unknown agency)
47,91-75-j23-1 (Unknown agency)
34,91-10-A-j23-1 (Unknown agency)
31,92-317-j23-1 (Unknown agency)
29,91-2-B-j23-1 (Unknown agency)
28,91-25-j23-1 (Unknown agency)
27,91-7-G-j23-1 (Unknown agency)
25,91-1-A-j23-1 (Unknown agency)
24,92-80-A-j23-1 (Unknown agency)
22,92-33-E-j23-1 (Unknown agency)
