Fahrten,Namen
697,91-5-C-j23-1 (Unknown agency)
250,92-314-A-j23-1 (Unknown agency)
116,91-14-C-j23-1 (Unknown agency)
48,91-11-A-j23-1 (Unknown agency)
24,91-24-j23-1 (Unknown agency)
21,92-89-j23-1 (Unknown agency)
18,92-80-A-j23-1 (Unknown agency)
17,96-165-4-j23-1 (Unknown agency)
15,91-4-A-j23-1 (Unknown agency)
12,91-12-j23-1 (Unknown agency)
12,91-10-A-j23-1 (Unknown agency)
11,91-7-G-j23-1 (Unknown agency)
11,91-75-j23-1 (Unknown agency)
9,91-25-j23-1 (Unknown agency)
8,92-302-C-j23-1 (Unknown agency)
8,91-20-F-j23-1 (Unknown agency)
6,91-13-B-j23-1 (Unknown agency)
6,91-4-F-j23-1 (Unknown agency)
6,91-35-A-j23-1 (Unknown agency)
5,91-17-A-j23-1 (Unknown agency)
