Namen,Fahrten,Anteil (%)
Urdorf - Zürich,306,22.9
Birmensdorf (ZH) - Urdorf,100,7.5
Affoltern am Albis - Urdorf,75,5.6
Bonstetten - Urdorf,55,4.1
Urdorf - Zug,45,3.4
Dietikon - Urdorf,43,3.2
Thalwil - Urdorf,37,2.7
Hedingen - Urdorf,33,2.4
Rapperswil-Jona - Urdorf,26,2.0
Baar - Urdorf,24,1.8
Schlieren - Urdorf,20,1.5
Horgen - Urdorf,18,1.4
Dübendorf - Urdorf,15,1.2
Knonau - Urdorf,15,1.1
Adliswil - Urdorf,14,1.1
Mettmenstetten - Urdorf,13,1.0
Cham - Urdorf,13,1.0
Birmensdorf (ZH) - Schlieren,13,1.0
Obfelden - Urdorf,13,0.9
Kloten - Uitikon,12,0.9
