Namen,Fahrten,Anteil (%)
Greifensee - Uster,1317,13.7
Uster - Wetzikon (ZH),414,4.3
Mönchaltorf - Uster,240,2.5
Egg - Greifensee,240,2.5
Gossau (ZH) - Uster,237,2.5
Egg - Uster,217,2.3
Greifensee - Wetzikon (ZH),212,2.2
Greifensee - Mönchaltorf,187,2.0
Maur - Uster,184,1.9
Gossau (ZH) - Greifensee,171,1.8
Greifensee - Stäfa,166,1.7
Küsnacht (ZH) - Uster,141,1.5
Hinwil - Uster,132,1.4
Greifensee - Rapperswil-Jona,129,1.3
Greifensee - Meilen,119,1.2
Uster - Winterthur,116,1.2
Pfäffikon - Uster,113,1.2
Greifensee - Oetwil am See,109,1.1
Bubikon - Uster,104,1.1
Greifensee - Rüti (ZH),101,1.1
