Fahrten,Namen
520,91-14-C-j23-1 (Unknown agency)
247,91-15-C-j23-1 (Unknown agency)
240,91-9-D-j23-1 (Unknown agency)
188,91-5-C-j23-1 (Unknown agency)
110,91-7-C-j23-1 (Unknown agency)
59,91-6-D-j23-1 (Unknown agency)
41,91-11-A-j23-1 (Unknown agency)
27,91-12-j23-1 (Unknown agency)
24,91-20-D-j23-1 (Unknown agency)
20,91-16-A-j23-1 (Unknown agency)
18,92-705-B-j23-1 (Unknown agency)
16,91-1E-Y-j23-1 (Unknown agency)
16,91-3-D-j23-1 (Unknown agency)
15,92-869-j23-1 (Unknown agency)
15,91-18-A-j23-1 (Unknown agency)
14,91-25-j23-1 (Unknown agency)
13,91-26-A-j23-1 (Unknown agency)
13,92-725-j23-1 (Unknown agency)
13,92-880-j23-1 (Unknown agency)
13,91-23-B-j23-1 (Unknown agency)
