Namen,Fahrten,Anteil (%)
Greifensee - Uster,388,21.4
Greifensee - Rapperswil-Jona,97,5.4
Greifensee - Rüti (ZH),93,5.1
Rüti (ZH) - Uster,57,3.1
Greifensee - Hinwil,55,3.0
Bubikon - Greifensee,51,2.8
Greifensee - Wetzikon (ZH),48,2.6
Bubikon - Uster,46,2.5
Meilen - Winterthur,43,2.4
Männedorf - Winterthur,42,2.3
Rapperswil-Jona - Uster,40,2.2
Dürnten - Greifensee,39,2.2
Stäfa - Winterthur,37,2.1
Fällanden - Uster,36,2.0
Greifensee - Wald (ZH),32,1.7
Greifensee - Hombrechtikon,28,1.5
Uetikon am See - Winterthur,25,1.4
Freienbach - Greifensee,25,1.4
Uster - Zürich,24,1.3
Eschenbach (SG) - Greifensee,24,1.3
