Namen,Fahrten,Anteil (%)
Uster - Volketswil,2163,13.5
Greifensee - Volketswil,2092,13.0
Volketswil - Wetzikon (ZH),626,3.9
Fällanden - Uster,528,3.3
Fehraltorf - Volketswil,518,3.2
Greifensee - Zürich,508,3.2
Dübendorf - Volketswil,374,2.3
Pfäffikon - Volketswil,372,2.3
Illnau-Effretikon - Volketswil,365,2.3
Schwerzenbach - Uster,353,2.2
Volketswil - Zürich,325,2.0
Dübendorf - Greifensee,320,2.0
Fällanden - Volketswil,275,1.7
Hinwil - Volketswil,223,1.4
Fällanden - Wetzikon (ZH),217,1.4
Schwerzenbach - Volketswil,213,1.3
Russikon - Volketswil,165,1.0
Schwerzenbach - Wetzikon (ZH),160,1.0
Rapperswil-Jona - Volketswil,151,0.9
Gossau (ZH) - Volketswil,150,0.9
