Fahrten,Namen
4893,91-9-D-j23-1 (Unknown agency)
3925,91-14-C-j23-1 (Unknown agency)
941,91-3-D-j23-1 (Unknown agency)
763,92-725-j23-1 (Unknown agency)
645,92-705-B-j23-1 (Unknown agency)
482,92-726-A-j23-1 (Unknown agency)
455,92-720-j23-1 (Unknown agency)
389,91-15-C-j23-1 (Unknown agency)
318,92-704-B-j23-1 (Unknown agency)
229,92-727-j23-1 (Unknown agency)
204,91-18-A-j23-1 (Unknown agency)
169,92-845-j23-1 (Unknown agency)
164,91-5-C-j23-1 (Unknown agency)
164,91-12-j23-1 (Unknown agency)
163,92-N72-j23-1 (Unknown agency)
137,91-19-A-j23-1 (Unknown agency)
124,92-842-j23-1 (Unknown agency)
122,92-721-j23-1 (Unknown agency)
115,91-26-A-j23-1 (Unknown agency)
107,91-11-A-j23-1 (Unknown agency)
