Fahrten,Namen
1015,91-14-C-j23-1 (Unknown agency)
984,91-9-D-j23-1 (Unknown agency)
176,91-15-C-j23-1 (Unknown agency)
79,91-5-C-j23-1 (Unknown agency)
43,92-705-B-j23-1 (Unknown agency)
36,91-12-j23-1 (Unknown agency)
28,91-18-A-j23-1 (Unknown agency)
27,91-11-A-j23-1 (Unknown agency)
21,91-2-B-j23-1 (Unknown agency)
19,91-3-D-j23-1 (Unknown agency)
18,92-727-j23-1 (Unknown agency)
17,91-12-C-j23-1 (Unknown agency)
17,92-869-j23-1 (Unknown agency)
16,92-850-j23-1 (Unknown agency)
15,91-26-A-j23-1 (Unknown agency)
15,91-7-G-j23-1 (Unknown agency)
14,92-720-j23-1 (Unknown agency)
13,91-8-C-j23-1 (Unknown agency)
13,91-20-D-j23-1 (Unknown agency)
12,91-25-j23-1 (Unknown agency)
