Namen,Fahrten,Anteil (%)
Greifensee - Volketswil,542,17.2
Greifensee - Zürich,480,15.2
Dübendorf - Greifensee,201,6.4
Volketswil - Zürich,153,4.9
Rapperswil-Jona - Volketswil,108,3.4
Greifensee - Wallisellen,98,3.1
Rüti (ZH) - Volketswil,95,3.0
Greifensee - Wetzikon (ZH),75,2.4
Greifensee - Schwerzenbach,71,2.3
Volketswil - Wetzikon (ZH),61,1.9
Fällanden - Wetzikon (ZH),57,1.8
Volketswil - Wald (ZH),53,1.7
Volketswil - Winterthur,52,1.6
Bubikon - Volketswil,50,1.6
Greifensee - Winterthur,49,1.5
Hinwil - Volketswil,47,1.5
Dürnten - Volketswil,44,1.4
Greifensee - Hinwil,44,1.4
Hinwil - Schwerzenbach,42,1.3
Freienbach - Volketswil,38,1.2
