Namen,Fahrten,Anteil (%)
Pfäffikon - Wetzikon (ZH),1744,8.1
Bäretswil - Wetzikon (ZH),1236,5.7
Bauma - Wetzikon (ZH),707,3.3
Hinwil - Pfäffikon,679,3.2
Hinwil - Wetzikon (ZH),629,2.9
Hittnau - Wetzikon (ZH),606,2.8
Wetzikon (ZH) - Winterthur,524,2.4
Hinwil - Winterthur,449,2.1
Fehraltorf - Wetzikon (ZH),395,1.8
Pfäffikon - Rapperswil-Jona,343,1.6
Rapperswil-Jona - Winterthur,309,1.4
Pfäffikon - Rüti (ZH),256,1.2
Bäretswil - Zürich,252,1.2
Rapperswil-Jona - Wetzikon (ZH),234,1.1
Rüti (ZH) - Wetzikon (ZH),224,1.0
Russikon - Wetzikon (ZH),221,1.0
Wald (ZH) - Winterthur,217,1.0
Uster - Wetzikon (ZH),213,1.0
Fehraltorf - Hinwil,212,1.0
Rüti (ZH) - Winterthur,199,0.9
