Fahrten,Namen
8055,91-3-D-j23-1 (Unknown agency)
2758,92-850-j23-1 (Unknown agency)
2594,92-851-j23-1 (Unknown agency)
2244,91-5-C-j23-1 (Unknown agency)
1645,91-26-A-j23-1 (Unknown agency)
1452,91-15-C-j23-1 (Unknown agency)
1237,91-14-C-j23-1 (Unknown agency)
1091,92-858-j23-1 (Unknown agency)
666,92-869-j23-1 (Unknown agency)
574,91-12-j23-1 (Unknown agency)
478,92-N88-j23-1 (Unknown agency)
388,91-24-j23-1 (Unknown agency)
239,91-11-A-j23-1 (Unknown agency)
209,91-8-C-j23-1 (Unknown agency)
203,91-25-j23-1 (Unknown agency)
197,92-867-j23-1 (Unknown agency)
196,91-1E-Y-j23-1 (Unknown agency)
196,91-7-C-j23-1 (Unknown agency)
184,91-2-B-j23-1 (Unknown agency)
165,92-857-j23-1 (Unknown agency)
