Namen,Fahrten,Anteil (%)
Hettlingen - Winterthur,2578,8.8
Seuzach - Winterthur,2262,7.7
Neftenbach - Winterthur,1505,5.1
Frauenfeld - Winterthur,1478,5.0
Wiesendangen - Winterthur,766,2.6
Pfungen - Winterthur,634,2.2
Rickenbach (ZH) - Winterthur,565,1.9
Schaffhausen - Winterthur,550,1.9
Henggart - Winterthur,541,1.8
Andelfingen - Winterthur,496,1.7
Kreuzlingen - Winterthur,465,1.6
Dägerlen - Winterthur,459,1.6
Kirchberg (SG) - Winterthur,420,1.4
St. Gallen - Winterthur,352,1.2
Gachnang - Winterthur,333,1.1
Embrach - Winterthur,302,1.0
Aadorf - Winterthur,294,1.0
Sirnach - Winterthur,244,0.8
Flaach - Winterthur,236,0.8
Kleinandelfingen - Winterthur,219,0.7
