Fahrten,Namen
2799,91-12-j23-1 (Unknown agency)
2564,91-24-j23-1 (Unknown agency)
2402,91-33-j23-1 (Unknown agency)
2230,92-674-j23-1 (Unknown agency)
2020,92-3-Q-j23-1 (Unknown agency)
1838,91-29-A-j23-1 (Unknown agency)
1439,91-30-A-j23-1 (Unknown agency)
1412,91-41-j23-1 (Unknown agency)
1392,91-75-j23-1 (Unknown agency)
1389,92-2-P-j23-1 (Unknown agency)
1236,91-8-E-j23-1 (Unknown agency)
1064,91-1-D-j23-1 (Unknown agency)
729,91-11-A-j23-1 (Unknown agency)
688,91-13-j23-1 (Unknown agency)
582,91-35-j23-1 (Unknown agency)
472,92-7-O-j23-1 (Unknown agency)
411,91-9-D-j23-1 (Unknown agency)
407,91-1-C-j23-1 (Unknown agency)
297,92-1-R-j23-1 (Unknown agency)
294,92-5-Q-j23-1 (Unknown agency)
