Fahrten,Namen
551,91-1-D-j23-1 (Unknown agency)
532,91-24-j23-1 (Unknown agency)
454,91-12-j23-1 (Unknown agency)
430,91-8-E-j23-1 (Unknown agency)
361,91-75-j23-1 (Unknown agency)
350,91-41-j23-1 (Unknown agency)
298,91-13-j23-1 (Unknown agency)
293,92-674-j23-1 (Unknown agency)
263,91-33-j23-1 (Unknown agency)
249,91-30-A-j23-1 (Unknown agency)
229,92-3-Q-j23-1 (Unknown agency)
199,91-29-A-j23-1 (Unknown agency)
172,91-35-j23-1 (Unknown agency)
155,91-5-A-j23-1 (Unknown agency)
129,92-2-P-j23-1 (Unknown agency)
113,92-7-O-j23-1 (Unknown agency)
100,91-11-A-j23-1 (Unknown agency)
65,91-1-C-j23-1 (Unknown agency)
59,92-1-R-j23-1 (Unknown agency)
54,91-9-D-j23-1 (Unknown agency)
