Namen,Fahrten,Anteil (%)
St. Gallen - Winterthur,709,7.2
Frauenfeld - Winterthur,674,6.8
Schaffhausen - Winterthur,584,5.9
Kirchberg (SG) - Winterthur,503,5.1
Bülach - Winterthur,317,3.2
Weinfelden - Winterthur,288,2.9
Winterthur - Zürich,278,2.8
Hettlingen - Zürich,245,2.5
Laufen-Uhwiesen - Winterthur,223,2.2
Andelfingen - Winterthur,219,2.2
Seuzach - Zürich,217,2.2
Neftenbach - Winterthur,183,1.9
Embrach - Winterthur,160,1.6
Hettlingen - Winterthur,159,1.6
Gossau (SG) - Winterthur,151,1.5
Seuzach - Winterthur,139,1.4
Pfungen - Winterthur,137,1.4
Eschlikon - Winterthur,136,1.4
Uzwil - Winterthur,133,1.3
Kreuzlingen - Winterthur,132,1.3
