Fahrten,Namen
4743,Spreitenbach - Zürich
1512,Dietikon - Zürich
1274,Dietikon - Spreitenbach
802,Schlieren - Spreitenbach
613,Baden - Dietikon
600,Geroldswil - Spreitenbach
556,Spreitenbach - Wettingen
547,Dietikon - Wettingen
523,Spreitenbach - Urdorf
490,Dietikon - Würenlos
396,Neuenhof - Zürich
370,Killwangen - Zürich
336,Regensdorf - Spreitenbach
307,Baden - Spreitenbach
275,Spreitenbach - Würenlos
241,Basel - Dietikon
223,Dietikon - Urdorf
214,Kloten - Spreitenbach
204,Oetwil an der Limmat - Spreitenbach
204,Spreitenbach - Unterengstringen
