Fahrten,Namen
1320,Fällanden - Zürich
1005,Volketswil - Zürich
821,Greifensee - Zürich
422,Schwerzenbach - Zürich
311,Uster - Zürich
211,Maur - Zürich
190,Dübendorf - Fällanden
168,Dübendorf - Rapperswil-Jona
138,Dübendorf - Meilen
130,Küsnacht (ZH) - Winterthur
119,Winterthur - Zollikon
114,Dübendorf - Rüti (ZH)
111,Dübendorf - Stäfa
83,Dübendorf - Küsnacht (ZH)
81,Dübendorf - Männedorf
69,Dübendorf - Zollikon
68,Fällanden - Winterthur
67,Dietlikon - Küsnacht (ZH)
60,Kloten - Zumikon
56,Volketswil - Zollikon
