Fahrten,Namen
2467,Hinwil - Wetzikon (ZH)
760,Rüti (ZH) - Wetzikon (ZH)
646,Rapperswil-Jona - Wetzikon (ZH)
596,Wald (ZH) - Wetzikon (ZH)
590,Hinwil - Pfäffikon
544,Dürnten - Wetzikon (ZH)
537,Hinwil - Rüti (ZH)
536,Hinwil - Zürich
441,Hinwil - Winterthur
380,Hinwil - Rapperswil-Jona
378,Hinwil - Uster
359,Hinwil - Wald (ZH)
343,Pfäffikon - Rapperswil-Jona
309,Rapperswil-Jona - Winterthur
297,Dürnten - Hinwil
256,Pfäffikon - Rüti (ZH)
247,Hinwil - Volketswil
205,Wald (ZH) - Winterthur
199,Rüti (ZH) - Winterthur
197,Fehraltorf - Hinwil
