Fahrten,Namen
4438,Schlieren - Zürich
1076,Dietikon - Zürich
870,Urdorf - Zürich
648,Dietikon - Schlieren
439,Schlieren - Urdorf
232,Schlieren - Unterengstringen
231,Schlieren - Spreitenbach
201,Geroldswil - Schlieren
182,Dübendorf - Schlieren
172,Regensdorf - Schlieren
163,Schlieren - Winterthur
141,Kloten - Schlieren
111,Schlieren - Weiningen (ZH)
110,Schlieren - Uitikon
92,Birmensdorf (ZH) - Schlieren
89,Opfikon - Schlieren
88,Schlieren - Wallisellen
84,Affoltern am Albis - Schlieren
84,Schlieren - Wettingen
80,Baden - Schlieren
