Fahrten,Namen
1180,S5 (Schweizerische Bundesbahnen SBB)
607,314 (Verkehrsbetriebe Zürich)
505,S14 (Schweizerische Bundesbahnen SBB)
108,350 (PostAuto AG)
79,20 (Aargau Verkehr AG)
70,S24 (Schweizerische Bundesbahnen SBB)
64,302 (Verkehrsbetriebe Zürich)
57,S4 (Sihltal-Zürich-Uetliberg-Bahn)
53,317 (Verkehrsbetriebe Zürich)
46,201 (PostAuto AG)
42,S2 (Schweizerische Bundesbahnen SBB)
40,245 (PostAuto AG)
39,215 (PostAuto AG)
36,IR75 (Schweizerische Bundesbahnen SBB)
32,S12 (Schweizerische Bundesbahnen SBB)
31,IR36 (Schweizerische Bundesbahnen SBB)
28,7 (Verkehrsbetriebe Zürich INFO+)
26,S10 (Sihltal-Zürich-Uetliberg-Bahn)
26,S1 (Schweizerische Bundesbahnen SBB)
25,648 (Zugerland Verkehrsbetriebe)
