Fahrten,Namen
615,S5 (Schweizerische Bundesbahnen SBB)
204,S14 (Schweizerische Bundesbahnen SBB)
170,314 (Verkehrsbetriebe Zürich)
36,S24 (Schweizerische Bundesbahnen SBB)
20,S4 (Sihltal-Zürich-Uetliberg-Bahn)
16,245 (PostAuto AG)
15,7 (Verkehrsbetriebe Zürich INFO+)
15,350 (PostAuto AG)
15,S10 (Sihltal-Zürich-Uetliberg-Bahn)
14,217 (PostAuto AG)
13,IR36 (Schweizerische Bundesbahnen SBB)
13,IC3 (Schweizerische Bundesbahnen SBB)
11,20 (Aargau Verkehr AG)
11,S25 (Schweizerische Bundesbahnen SBB)
11,4 (Verkehrsbetriebe Zürich INFO+)
9,IR75 (Schweizerische Bundesbahnen SBB)
9,S12 (Schweizerische Bundesbahnen SBB)
9,89 (Verkehrsbetriebe Zürich)
8,33 (Verkehrsbetriebe Zürich)
8,S7 (Schweizerische Bundesbahnen SBB)
