Fahrten,Namen
1347,Uster - Volketswil
1052,Greifensee - Volketswil
595,Greifensee - Zürich
562,Volketswil - Wetzikon (ZH)
338,Fehraltorf - Volketswil
319,Fällanden - Uster
256,Volketswil - Zürich
254,Pfäffikon - Volketswil
224,Schwerzenbach - Uster
219,Dübendorf - Volketswil
203,Fällanden - Wetzikon (ZH)
202,Illnau-Effretikon - Volketswil
196,Dübendorf - Greifensee
194,Hinwil - Volketswil
146,Fällanden - Volketswil
136,Rapperswil-Jona - Volketswil
133,Schwerzenbach - Wetzikon (ZH)
123,Gossau (ZH) - Volketswil
115,Schwerzenbach - Volketswil
110,Russikon - Volketswil
