Fahrten,Namen
1744,Pfäffikon - Wetzikon (ZH)
1236,Bäretswil - Wetzikon (ZH)
707,Bauma - Wetzikon (ZH)
679,Hinwil - Pfäffikon
629,Hinwil - Wetzikon (ZH)
606,Hittnau - Wetzikon (ZH)
524,Wetzikon (ZH) - Winterthur
449,Hinwil - Winterthur
395,Fehraltorf - Wetzikon (ZH)
343,Pfäffikon - Rapperswil-Jona
309,Rapperswil-Jona - Winterthur
256,Pfäffikon - Rüti (ZH)
252,Bäretswil - Zürich
234,Rapperswil-Jona - Wetzikon (ZH)
224,Rüti (ZH) - Wetzikon (ZH)
221,Russikon - Wetzikon (ZH)
217,Wald (ZH) - Winterthur
213,Uster - Wetzikon (ZH)
212,Fehraltorf - Hinwil
199,Rüti (ZH) - Winterthur
