Fahrten,Namen
361,Wetzikon (ZH) - Winterthur
281,Rapperswil-Jona - Winterthur
232,Bäretswil - Zürich
226,Pfäffikon - Wetzikon (ZH)
188,Hinwil - Winterthur
178,Rüti (ZH) - Winterthur
171,Wetzikon (ZH) - Zürich
171,Wald (ZH) - Winterthur
114,Pfäffikon - Rüti (ZH)
78,Freienbach - Winterthur
76,Fehraltorf - Wetzikon (ZH)
73,Pfäffikon - Rapperswil-Jona
68,Rüti (ZH) - Wetzikon (ZH)
63,Fehraltorf - Rüti (ZH)
61,St. Gallen - Wetzikon (ZH)
52,Kreuzlingen - Rüti (ZH)
51,Fehraltorf - Rapperswil-Jona
50,Glarus Nord - Winterthur
46,Freienbach - Pfäffikon
44,Bubikon - Pfäffikon
